index,transaction.date,ip.address,buyer.username,product.id
0,13/05/2014 12:40 AM,117.154.123.13,S West,AVphzgbJLJeJML43fA0o
1,13/08/2013 09:48 PM,79.100.59.195,MikeM,AVpgnnzJilAPnD_xu_7Q
2,27/10/2015 01:57 PM,183.121.51.11,Cbsears21,AVpgMuGwLJeJML43KY_c
3,31/07/2013 06:03 PM,158.124.238.127,DANIEL,AVpftC_FLJeJML43CLs8
4,12/02/2015 09:26 PM,57.231.242.93,MaltBalls,AVpfKRGKLJeJML433rPX
5,26/03/2015 02:16 AM,185.82.108.134,15thpaladin,AVpfuJ4pilAPnD_xhDyM
6,11/08/2014 11:10 PM,211.184.227.83,mine05,AVpf2pgLilAPnD_xjed4
7,27/11/2015 08:19 AM,158.203.35.137,Downtown,AVpjedgc1cnluZ0-W4NI
8,27/03/2011 11:26 AM,13.8.66.183,LAC342,AVpfuJ4pilAPnD_xhDyM
9,26/03/2009 01:27 AM,178.86.115.238,ByRichard Sutton,AVpe5iL11cnluZ0-ZVzB
10,06/11/2012 11:34 PM,63.55.22.14,Nannie,AVpf0Nyo1cnluZ0-rzhu
11,14/09/2015 05:49 AM,74.48.189.142,at916,AVpfVI9wilAPnD_xZxH-
12,09/07/2017 08:44 PM,173.121.150.47,Izzy,AVpiFC-LilAPnD_xAgKu
13,20/02/2016 01:22 PM,82.245.16.252,Jj91,AVpgswjcLJeJML43Ro-G
14,30/05/2011 03:37 PM,239.71.54.198,SamSnuffy,AVpftC_FLJeJML43CLs8
15,21/04/2008 03:24 PM,164.227.249.152,Cleiton,AVpe5iL11cnluZ0-ZVzB
16,24/05/2012 11:21 PM,89.237.180.174,Rob Gudermuth,AVpe8ZRY1cnluZ0-aY4H
17,18/10/2009 04:20 AM,166.23.148.100,Brian,AVpfnp8HLJeJML43AmVi
18,12/02/2017 11:39 AM,142.42.27.252,labama46,AVpfgGwSLJeJML43-VCn
19,07/10/2014 08:24 AM,189.18.198.39,SatisfiedCustomer,AVpiAzN7ilAPnD_x_wOJ
20,05/08/2008 08:35 AM,41.25.182.250,TECHBEENGOOD,AVpg8GjjLJeJML43Uplr
21,23/01/2015 02:44 AM,146.230.86.175,Janabi,AVpfnp8HLJeJML43AmVi
22,29/11/2017 10:35 AM,0.148.236.169,SandyToes,AVphUeKeilAPnD_x3-Be
23,10/11/2010 03:43 PM,128.254.210.229,Texasmommyof3,AWIm0C3TYSSHbkXwx3S6
24,30/11/2011 03:27 AM,48.61.184.88,Hoco,AVzNjwZZ-jtxr-f3yc_y
25,22/02/2016 02:57 AM,222.78.24.112,Mklippie,AVpiFC-LilAPnD_xAgKu
26,02/06/2015 05:10 PM,102.72.141.235,msvmvp,AV1YFmcQglJLPUi8IGd1
27,11/05/2017 10:14 PM,40.212.17.23,KDawg8135,AVzNjwZZ-jtxr-f3yc_y
28,05/01/2012 04:40 PM,174.118.4.141,RobP,AV2Zps11GV-KLJ3al16A
29,20/02/2017 02:45 PM,198.172.134.184,PennysDad,AVpi-P111cnluZ0-SVqq
30,03/10/2011 04:11 AM,210.71.86.158,Fromthe209,AVpf0Nyo1cnluZ0-rzhu
31,09/02/2012 08:23 PM,190.139.47.106,Jondoe,AV1YFmcQglJLPUi8IGd1
32,24/05/2010 01:04 PM,104.107.249.243,MattS,AVpg8i6NilAPnD_xzQdN
33,21/06/2016 11:25 PM,64.80.130.146,JJ22,AVpe8ZRY1cnluZ0-aY4H
34,10/08/2013 10:59 AM,204.59.7.112,atomicmouse,AV4GShTMvKc47QAVrFsX
35,28/08/2016 04:00 PM,20.164.150.48,Nikboy,AVpf24SVLJeJML43FAIX
36,13/05/2015 05:43 PM,29.187.228.47,Giantman,AVpiUMISilAPnD_xC-hu
37,26/04/2017 09:24 AM,99.54.227.97,Miggy,AVphUeKeilAPnD_x3-Be
38,23/04/2015 11:39 PM,132.168.233.209,dat280z,AVpfKRGKLJeJML433rPX
39,30/10/2008 11:27 AM,19.167.206.255,GH2016,AVpg59zyilAPnD_xyv3y
40,10/01/2012 02:26 PM,162.140.174.248,BBUser2018,AVpiAzN7ilAPnD_x_wOJ
41,27/08/2012 04:27 PM,99.212.112.180,Ronald,AVwvGPRyU2_QcyX9R3FW
42,19/04/2014 09:17 PM,33.76.148.216,A000213,AVpe9BGF1cnluZ0-annA
43,07/08/2017 03:32 PM,172.136.129.46,Azzman,AVpgGPyq1cnluZ0-wbTJ
44,27/01/2009 05:43 AM,23.167.94.87,Dario,AVpfVI9wilAPnD_xZxH-
45,25/11/2012 05:53 AM,13.161.244.150,Tazz,AVpf2pgLilAPnD_xjed4
46,27/10/2014 03:51 PM,117.9.154.7,Alexander,AVpfVI9wilAPnD_xZxH-
47,22/02/2016 02:18 PM,214.238.98.141,CentralValley,AVpg8GjjLJeJML43Uplr
48,29/11/2017 12:45 PM,144.68.0.131,SPIDERWEBB72,AV15fqDs-jtxr-f38R4C
49,21/01/2016 02:58 PM,15.192.245.239,76doublebass,AVpgF1BOilAPnD_xnTsK
50,19/06/2009 10:34 PM,55.31.63.49,Joy Fiveseas,AVpfVI9wilAPnD_xZxH-
51,02/09/2008 08:12 PM,255.10.205.113,Vikasb,AVpgnnzJilAPnD_xu_7Q
52,15/04/2017 12:36 AM,47.30.125.113,ReddingKathy,AVpfgGwSLJeJML43-VCn
53,26/10/2015 07:16 PM,138.247.103.190,Darkhorse0934,AVpg8GjjLJeJML43Uplr
54,25/05/2012 03:46 PM,3.80.82.193,xc4628,AVpe9BGF1cnluZ0-annA
55,24/12/2012 07:16 AM,86.81.198.88,Klmnop,AVpe9BGF1cnluZ0-annA
56,18/01/2011 04:31 AM,158.148.78.206,Jerry,AVpg59zyilAPnD_xyv3y
57,20/07/2010 08:02 AM,70.123.102.6,Audiophile4Life,AVpivePGilAPnD_xHH0l
58,20/10/2015 01:19 AM,231.248.166.194,Tjizl,AV13V_i2glJLPUi8PFgb
59,25/06/2009 07:24 AM,82.109.216.161,Nonorosita,AVpfKRGKLJeJML433rPX
60,17/02/2010 01:14 PM,190.35.151.249,onlymee,AVpgF1BOilAPnD_xnTsK
61,23/01/2018 12:11 AM,78.175.223.0,JabsNC,AVpg8GjjLJeJML43Uplr
62,13/03/2014 10:16 AM,168.29.127.103,W1ngnut43v3r,AVpfuJ4pilAPnD_xhDyM
63,28/08/2011 07:24 AM,93.19.75.165,Racko,AV13V_i2glJLPUi8PFgb
64,29/01/2012 07:53 AM,98.106.201.244,Mojomaniak,AVpfKRGKLJeJML433rPX
65,11/09/2008 02:48 PM,61.173.227.218,Normalguy,AV1YFmcQglJLPUi8IGd1
66,29/03/2013 04:26 PM,188.142.19.216,Q5421,AVpg59zyilAPnD_xyv3y
